"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Jul 04 04:57:24 GMT 2025","Fri Jul 04 04:57:39 GMT 2025","14915","Social Registry Sanity Test Suite","Sanity Suite","testcase.IdTypeTest","testcase.IdTypeTest","idTypeCreation","idTypeCreation",""
"skipped","Fri Jul 04 05:00:17 GMT 2025","Fri Jul 04 05:00:17 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.GroupTest","testcase.GroupTest","groupDeletion","groupDeletion",""
"skipped","Fri Jul 04 05:01:04 GMT 2025","Fri Jul 04 05:01:04 GMT 2025","1","Social Registry Sanity Test Suite","Sanity Suite","testcase.RegistrantTagsTest","testcase.RegistrantTagsTest","registrantTagDeletion","registrantTagDeletion",""
"broken","Fri Jul 04 04:55:33 GMT 2025","Fri Jul 04 04:55:49 GMT 2025","15948","Social Registry Sanity Test Suite","Sanity Suite","testcase.IndividualTest","testcase.IndividualTest","individualCreation","individualCreation",""
"skipped","Fri Jul 04 05:00:17 GMT 2025","Fri Jul 04 05:00:17 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.DistrictConfigTest","testcase.DistrictConfigTest","districtConfigUpdation","districtConfigUpdation",""
"skipped","Fri Jul 04 04:59:32 GMT 2025","Fri Jul 04 04:59:32 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.IdTypeTest","testcase.IdTypeTest","idTypeUpdation","idTypeUpdation",""
"skipped","Fri Jul 04 05:01:04 GMT 2025","Fri Jul 04 05:01:04 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.DistrictConfigTest","testcase.DistrictConfigTest","districtConfigDeletion","districtConfigDeletion",""
"passed","Fri Jul 04 04:54:58 GMT 2025","Fri Jul 04 04:55:16 GMT 2025","17940","Social Registry Sanity Test Suite","Sanity Suite","testcase.LoginPageTest","testcase.LoginPageTest","resetPassword","resetPassword",""
"broken","Fri Jul 04 05:00:46 GMT 2025","Fri Jul 04 05:01:03 GMT 2025","17107","Social Registry Sanity Test Suite","Sanity Suite","testcase.RegionTest","testcase.RegionTest","regionDeletion","regionDeletion",""
"skipped","Fri Jul 04 04:59:07 GMT 2025","Fri Jul 04 04:59:07 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.GenderTypeTest","testcase.GenderTypeTest","genderTypeUpdation","genderTypeUpdation",""
"passed","Fri Jul 04 05:00:19 GMT 2025","Fri Jul 04 05:00:44 GMT 2025","24739","Social Registry Sanity Test Suite","Sanity Suite","testcase.GroupTypeTest","testcase.GroupTypeTest","groupTypeDeletion","groupTypeDeletion",""
"skipped","Fri Jul 04 05:00:17 GMT 2025","Fri Jul 04 05:00:17 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.IndividualTest","testcase.IndividualTest","individualDeletion","individualDeletion",""
