"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Aug 14 13:31:05 GMT 2025","Thu Aug 14 13:31:05 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.RelationshipTest","testcase.RelationshipTest","relationshipUpdation","relationshipUpdation",""
"skipped","Thu Aug 14 13:29:57 GMT 2025","Thu Aug 14 13:29:57 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.IdTypeTest","testcase.IdTypeTest","idTypeUpdation","idTypeUpdation",""
"broken","Thu Aug 14 13:22:56 GMT 2025","Thu Aug 14 13:22:56 GMT 2025","1","Social Registry Sanity Test Suite","Sanity Suite","testcase.IdTypeTest","testcase.IdTypeTest","tearDown","tearDown",""
"skipped","Thu Aug 14 13:33:26 GMT 2025","Thu Aug 14 13:33:26 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.RelationshipTest","testcase.RelationshipTest","relationshipDeletion","relationshipDeletion",""
"broken","Thu Aug 14 13:31:05 GMT 2025","Thu Aug 14 13:31:05 GMT 2025","1","Social Registry Sanity Test Suite","Sanity Suite","testcase.RelationshipTest","testcase.RelationshipTest","relationshipsCreation","relationshipsCreation",""
"broken","Thu Aug 14 13:18:37 GMT 2025","Thu Aug 14 13:18:37 GMT 2025","1","Social Registry Sanity Test Suite","Sanity Suite","testcase.GroupTest","testcase.GroupTest","groupCreation","groupCreation",""
"skipped","Thu Aug 14 13:29:57 GMT 2025","Thu Aug 14 13:29:57 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.GenderTypeTest","testcase.GenderTypeTest","genderTypeUpdation","genderTypeUpdation",""
"skipped","Thu Aug 14 13:29:57 GMT 2025","Thu Aug 14 13:29:57 GMT 2025","1","Social Registry Sanity Test Suite","Sanity Suite","testcase.RegistrantTagsTest","testcase.RegistrantTagsTest","registrantTagUpdation","registrantTagUpdation",""
"passed","Thu Aug 14 13:37:48 GMT 2025","Thu Aug 14 13:38:12 GMT 2025","23812","Social Registry Sanity Test Suite","Sanity Suite","testcase.RegistrationPortalUserTest","testcase.RegistrationPortalUserTest","registrationPortalUserUpdation","registrationPortalUserUpdation",""
"skipped","Thu Aug 14 13:29:57 GMT 2025","Thu Aug 14 13:29:57 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.GroupTypeTest","testcase.GroupTypeTest","groupTypeUpdation","groupTypeUpdation",""
"broken","Thu Aug 14 13:13:16 GMT 2025","Thu Aug 14 13:13:16 GMT 2025","1","Social Registry Sanity Test Suite","Sanity Suite","testcase.GenderTypeTest","testcase.GenderTypeTest","genderTypeCreation","genderTypeCreation",""
"broken","Thu Aug 14 13:18:37 GMT 2025","Thu Aug 14 13:18:37 GMT 2025","1","Social Registry Sanity Test Suite","Sanity Suite","testcase.GroupTest","testcase.GroupTest","tearDown","tearDown",""
"passed","Thu Aug 14 13:36:19 GMT 2025","Thu Aug 14 13:36:45 GMT 2025","25902","Social Registry Sanity Test Suite","Sanity Suite","testcase.RegistrationPortalUserTest","testcase.RegistrationPortalUserTest","grantPortalAccess","grantPortalAccess",""
"broken","Thu Aug 14 13:18:32 GMT 2025","Thu Aug 14 13:21:33 GMT 2025","181266","Social Registry Sanity Test Suite","Sanity Suite","testcase.GroupTypeTest","testcase.GroupTypeTest","groupTypeCreation","groupTypeCreation",""
"broken","Thu Aug 14 13:17:31 GMT 2025","Thu Aug 14 13:17:31 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.GroupMembershipKindTest","testcase.GroupMembershipKindTest","tearDown","tearDown",""
"broken","Thu Aug 14 13:26:47 GMT 2025","Thu Aug 14 13:26:47 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.RegionTest","testcase.RegionTest","tearDown","tearDown",""
"broken","Thu Aug 14 13:27:23 GMT 2025","Thu Aug 14 13:27:23 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.RegistrantTagsTest","testcase.RegistrantTagsTest","tearDown","tearDown",""
"skipped","Thu Aug 14 13:33:26 GMT 2025","Thu Aug 14 13:33:26 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.RegionTest","testcase.RegionTest","regionDeletion","regionDeletion",""
"skipped","Thu Aug 14 13:29:57 GMT 2025","Thu Aug 14 13:29:57 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.RegionTest","testcase.RegionTest","regionUpdation","regionUpdation",""
"broken","Thu Aug 14 13:22:56 GMT 2025","Thu Aug 14 13:22:56 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.IdTypeTest","testcase.IdTypeTest","idTypeCreation","idTypeCreation",""
"skipped","Thu Aug 14 13:33:26 GMT 2025","Thu Aug 14 13:33:26 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.GroupTypeTest","testcase.GroupTypeTest","groupTypeDeletion","groupTypeDeletion",""
"skipped","Thu Aug 14 13:29:57 GMT 2025","Thu Aug 14 13:29:57 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.IndividualTest","testcase.IndividualTest","individualUpdation","individualUpdation",""
"skipped","Thu Aug 14 13:29:57 GMT 2025","Thu Aug 14 13:29:57 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.GroupTest","testcase.GroupTest","groupUpdation","groupUpdation",""
"skipped","Thu Aug 14 13:09:21 GMT 2025","Thu Aug 14 13:09:21 GMT 2025","1","Social Registry Sanity Test Suite","Sanity Suite","testcase.LoginPageTest","testcase.LoginPageTest","loginTest","loginTest",""
"broken","Thu Aug 14 13:13:16 GMT 2025","Thu Aug 14 13:13:16 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.GenderTypeTest","testcase.GenderTypeTest","tearDown","tearDown",""
"broken","Thu Aug 14 13:26:47 GMT 2025","Thu Aug 14 13:26:47 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.RegionTest","testcase.RegionTest","regionCreation","regionCreation",""
"skipped","Thu Aug 14 13:09:21 GMT 2025","Thu Aug 14 13:09:21 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.LoginPageTest","testcase.LoginPageTest","resetPassword","resetPassword",""
"passed","Thu Aug 14 13:29:14 GMT 2025","Thu Aug 14 13:29:57 GMT 2025","43419","Social Registry Sanity Test Suite","Sanity Suite","testcase.RegistrationPortalUserTest","testcase.RegistrationPortalUserTest","registrationPortalUserCreation","registrationPortalUserCreation",""
"skipped","Thu Aug 14 13:33:26 GMT 2025","Thu Aug 14 13:33:26 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.GroupMembershipKindTest","testcase.GroupMembershipKindTest","groupMembershipKindDeletion","groupMembershipKindDeletion",""
"skipped","Thu Aug 14 13:33:26 GMT 2025","Thu Aug 14 13:33:26 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.IdTypeTest","testcase.IdTypeTest","idTypeDeletion","idTypeDeletion",""
"broken","Thu Aug 14 13:31:05 GMT 2025","Thu Aug 14 13:31:05 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.RelationshipTest","testcase.RelationshipTest","tearDown","tearDown",""
"skipped","Thu Aug 14 13:33:26 GMT 2025","Thu Aug 14 13:33:26 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.RegistrantTagsTest","testcase.RegistrantTagsTest","registrantTagDeletion","registrantTagDeletion",""
"broken","Thu Aug 14 13:09:21 GMT 2025","Thu Aug 14 13:09:21 GMT 2025","2","Social Registry Sanity Test Suite","Sanity Suite","testcase.IndividualTest","testcase.IndividualTest","setup","setup",""
"passed","Thu Aug 14 13:37:21 GMT 2025","Thu Aug 14 13:37:46 GMT 2025","24972","Social Registry Sanity Test Suite","Sanity Suite","testcase.RegistrationPortalUserTest","testcase.RegistrationPortalUserTest","revokePortalAccess","revokePortalAccess",""
"skipped","Thu Aug 14 13:33:26 GMT 2025","Thu Aug 14 13:33:26 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.IndividualTest","testcase.IndividualTest","individualDeletion","individualDeletion",""
"skipped","Thu Aug 14 13:33:26 GMT 2025","Thu Aug 14 13:33:26 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.GenderTypeTest","testcase.GenderTypeTest","genderTypeDeletion","genderTypeDeletion",""
"broken","Thu Aug 14 13:27:23 GMT 2025","Thu Aug 14 13:27:23 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.RegistrantTagsTest","testcase.RegistrantTagsTest","registrantTagCreation","registrantTagCreation",""
"skipped","Thu Aug 14 13:29:57 GMT 2025","Thu Aug 14 13:29:57 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.GroupMembershipKindTest","testcase.GroupMembershipKindTest","groupMembershipKindUpdation","groupMembershipKindUpdation",""
"broken","Thu Aug 14 13:33:26 GMT 2025","Thu Aug 14 13:33:26 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.DistrictConfigTest","testcase.DistrictConfigTest","districtConfigUpdation","districtConfigUpdation",""
"skipped","Thu Aug 14 13:33:26 GMT 2025","Thu Aug 14 13:33:26 GMT 2025","1","Social Registry Sanity Test Suite","Sanity Suite","testcase.GroupTest","testcase.GroupTest","groupDeletion","groupDeletion",""
"broken","Thu Aug 14 13:09:21 GMT 2025","Thu Aug 14 13:09:21 GMT 2025","3","Social Registry Sanity Test Suite","Sanity Suite","testcase.LoginPageTest","testcase.LoginPageTest","setup","setup",""
"passed","Thu Aug 14 13:28:31 GMT 2025","Thu Aug 14 13:29:12 GMT 2025","40419","Social Registry Sanity Test Suite","Sanity Suite","testcase.DistrictConfigTest","testcase.DistrictConfigTest","districtConfigCreation","districtConfigCreation",""
"broken","Thu Aug 14 13:17:31 GMT 2025","Thu Aug 14 13:17:31 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.GroupMembershipKindTest","testcase.GroupMembershipKindTest","groupMembershipKindCreation","groupMembershipKindCreation",""
"skipped","Thu Aug 14 13:09:21 GMT 2025","Thu Aug 14 13:09:21 GMT 2025","1","Social Registry Sanity Test Suite","Sanity Suite","testcase.IndividualTest","testcase.IndividualTest","individualCreation","individualCreation",""
"broken","Thu Aug 14 13:33:26 GMT 2025","Thu Aug 14 13:33:26 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.DistrictConfigTest","testcase.DistrictConfigTest","tearDown","tearDown",""
"skipped","Thu Aug 14 13:33:26 GMT 2025","Thu Aug 14 13:33:26 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.DistrictConfigTest","testcase.DistrictConfigTest","districtConfigDeletion","districtConfigDeletion",""
"failed","Thu Aug 14 13:39:39 GMT 2025","Thu Aug 14 13:40:09 GMT 2025","30089","Social Registry Sanity Test Suite","Sanity Suite","testcase.RegistrationPortalUserTest","testcase.RegistrationPortalUserTest","registrationPortalUserDeletion","registrationPortalUserDeletion",""
