"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Aug 12 13:21:44 GMT 2025","Tue Aug 12 13:21:44 GMT 2025","1","Social Registry Sanity Test Suite","Sanity Suite","testcase.LoginPageTest","testcase.LoginPageTest","resetPassword","resetPassword",""
"broken","Tue Aug 12 13:34:07 GMT 2025","Tue Aug 12 13:34:07 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.RelationshipTest","testcase.RelationshipTest","relationshipsCreation","relationshipsCreation",""
"skipped","Tue Aug 12 13:42:35 GMT 2025","Tue Aug 12 13:42:35 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.RelationshipTest","testcase.RelationshipTest","relationshipDeletion","relationshipDeletion",""
"broken","Tue Aug 12 13:29:40 GMT 2025","Tue Aug 12 13:29:40 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.IdTypeTest","testcase.IdTypeTest","idTypeCreation","idTypeCreation",""
"broken","Tue Aug 12 13:45:42 GMT 2025","Tue Aug 12 13:45:42 GMT 2025","1","Social Registry Sanity Test Suite","Sanity Suite","testcase.GenderTypeTest","testcase.GenderTypeTest","genderTypeUpdation","genderTypeUpdation",""
"passed","Tue Aug 12 13:21:47 GMT 2025","Tue Aug 12 13:22:11 GMT 2025","23978","Social Registry Sanity Test Suite","Sanity Suite","testcase.GroupTest","testcase.GroupTest","groupCreation","groupCreation",""
"skipped","Tue Aug 12 13:42:35 GMT 2025","Tue Aug 12 13:42:35 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.DistrictConfigTest","testcase.DistrictConfigTest","districtConfigDeletion","districtConfigDeletion",""
"broken","Tue Aug 12 13:26:13 GMT 2025","Tue Aug 12 13:26:13 GMT 2025","1","Social Registry Sanity Test Suite","Sanity Suite","testcase.GroupTypeTest","testcase.GroupTypeTest","groupTypeCreation","groupTypeCreation",""
"broken","Tue Aug 12 13:34:07 GMT 2025","Tue Aug 12 13:34:07 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.RelationshipTest","testcase.RelationshipTest","tearDown","tearDown",""
"skipped","Tue Aug 12 13:42:35 GMT 2025","Tue Aug 12 13:42:35 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.RegistrantTagsTest","testcase.RegistrantTagsTest","registrantTagDeletion","registrantTagDeletion",""
"broken","Tue Aug 12 13:21:44 GMT 2025","Tue Aug 12 13:21:44 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.LoginPageTest","testcase.LoginPageTest","tearDown","tearDown",""
"broken","Tue Aug 12 13:25:43 GMT 2025","Tue Aug 12 13:25:43 GMT 2025","1","Social Registry Sanity Test Suite","Sanity Suite","testcase.GroupMembershipKindTest","testcase.GroupMembershipKindTest","tearDown","tearDown",""
