"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Jul 04 05:10:57 GMT 2025","Fri Jul 04 05:10:57 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.IndividualTest","testcase.IndividualTest","individualDeletion","individualDeletion",""
"skipped","Fri Jul 04 05:10:57 GMT 2025","Fri Jul 04 05:10:57 GMT 2025","1","Social Registry Sanity Test Suite","Sanity Suite","testcase.DistrictConfigTest","testcase.DistrictConfigTest","districtConfigUpdation","districtConfigUpdation",""
"skipped","Fri Jul 04 05:09:59 GMT 2025","Fri Jul 04 05:09:59 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.GroupMembershipKindTest","testcase.GroupMembershipKindTest","groupMembershipKindUpdation","groupMembershipKindUpdation",""
"passed","Fri Jul 04 05:08:11 GMT 2025","Fri Jul 04 05:08:30 GMT 2025","19134","Social Registry Sanity Test Suite","Sanity Suite","testcase.RegistrantTagsTest","testcase.RegistrantTagsTest","registrantTagCreation","registrantTagCreation",""
"passed","Fri Jul 04 05:11:26 GMT 2025","Fri Jul 04 05:11:51 GMT 2025","24761","Social Registry Sanity Test Suite","Sanity Suite","testcase.RelationshipTest","testcase.RelationshipTest","relationshipDeletion","relationshipDeletion",""
"broken","Fri Jul 04 05:10:01 GMT 2025","Fri Jul 04 05:10:18 GMT 2025","17211","Social Registry Sanity Test Suite","Sanity Suite","testcase.RegionTest","testcase.RegionTest","regionUpdation","regionUpdation",""
"passed","Fri Jul 04 05:10:38 GMT 2025","Fri Jul 04 05:10:57 GMT 2025","18205","Social Registry Sanity Test Suite","Sanity Suite","testcase.RelationshipTest","testcase.RelationshipTest","relationshipUpdation","relationshipUpdation",""
"passed","Fri Jul 04 05:04:58 GMT 2025","Fri Jul 04 05:05:21 GMT 2025","23581","Social Registry Sanity Test Suite","Sanity Suite","testcase.LoginPageTest","testcase.LoginPageTest","resetPassword","resetPassword",""
"skipped","Fri Jul 04 05:11:24 GMT 2025","Fri Jul 04 05:11:24 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.GenderTypeTest","testcase.GenderTypeTest","genderTypeDeletion","genderTypeDeletion",""
"skipped","Fri Jul 04 05:11:24 GMT 2025","Fri Jul 04 05:11:24 GMT 2025","1","Social Registry Sanity Test Suite","Sanity Suite","testcase.RegionTest","testcase.RegionTest","regionDeletion","regionDeletion",""
