"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Aug 14 08:02:05 GMT 2025","Thu Aug 14 08:02:05 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.GroupMembershipKindTest","testcase.GroupMembershipKindTest","groupMembershipKindUpdation","groupMembershipKindUpdation",""
"broken","Thu Aug 14 07:43:10 GMT 2025","Thu Aug 14 07:43:10 GMT 2025","1","Social Registry Sanity Test Suite","Sanity Suite","testcase.IndividualTest","testcase.IndividualTest","tearDown","tearDown",""
"broken","Thu Aug 14 07:56:36 GMT 2025","Thu Aug 14 07:56:36 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.RegionTest","testcase.RegionTest","regionCreation","regionCreation",""
"broken","Thu Aug 14 07:47:19 GMT 2025","Thu Aug 14 07:47:19 GMT 2025","1","Social Registry Sanity Test Suite","Sanity Suite","testcase.GenderTypeTest","testcase.GenderTypeTest","genderTypeCreation","genderTypeCreation",""
"skipped","Thu Aug 14 08:02:05 GMT 2025","Thu Aug 14 08:02:05 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.IdTypeTest","testcase.IdTypeTest","idTypeDeletion","idTypeDeletion",""
"broken","Thu Aug 14 08:02:05 GMT 2025","Thu Aug 14 08:02:05 GMT 2025","1","Social Registry Sanity Test Suite","Sanity Suite","testcase.DistrictConfigTest","testcase.DistrictConfigTest","districtConfigCreation","districtConfigCreation",""
"skipped","Thu Aug 14 08:02:05 GMT 2025","Thu Aug 14 08:02:05 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.RegionTest","testcase.RegionTest","regionUpdation","regionUpdation",""
"broken","Thu Aug 14 07:47:19 GMT 2025","Thu Aug 14 07:47:19 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.GenderTypeTest","testcase.GenderTypeTest","tearDown","tearDown",""
"skipped","Thu Aug 14 08:02:05 GMT 2025","Thu Aug 14 08:02:05 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.RegionTest","testcase.RegionTest","regionDeletion","regionDeletion",""
"broken","Thu Aug 14 07:54:53 GMT 2025","Thu Aug 14 07:54:53 GMT 2025","1","Social Registry Sanity Test Suite","Sanity Suite","testcase.IdTypeTest","testcase.IdTypeTest","idTypeCreation","idTypeCreation",""
"broken","Thu Aug 14 08:00:08 GMT 2025","Thu Aug 14 08:00:08 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.RelationshipTest","testcase.RelationshipTest","tearDown","tearDown",""
"skipped","Thu Aug 14 08:02:05 GMT 2025","Thu Aug 14 08:02:05 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.IdTypeTest","testcase.IdTypeTest","idTypeUpdation","idTypeUpdation",""
"skipped","Thu Aug 14 08:02:05 GMT 2025","Thu Aug 14 08:02:05 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.DistrictConfigTest","testcase.DistrictConfigTest","districtConfigUpdation","districtConfigUpdation",""
"skipped","Thu Aug 14 08:02:05 GMT 2025","Thu Aug 14 08:02:05 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.RegistrantTagsTest","testcase.RegistrantTagsTest","registrantTagUpdation","registrantTagUpdation",""
"broken","Thu Aug 14 07:49:00 GMT 2025","Thu Aug 14 07:49:20 GMT 2025","19356","Social Registry Sanity Test Suite","Sanity Suite","testcase.GroupTest","testcase.GroupTest","groupCreation","groupCreation",""
"broken","Thu Aug 14 07:53:00 GMT 2025","Thu Aug 14 07:53:00 GMT 2025","1","Social Registry Sanity Test Suite","Sanity Suite","testcase.GroupTypeTest","testcase.GroupTypeTest","groupTypeCreation","groupTypeCreation",""
"broken","Thu Aug 14 08:08:07 GMT 2025","Thu Aug 14 08:08:35 GMT 2025","27946","Social Registry Sanity Test Suite","Sanity Suite","testcase.RegistrationPortalUserTest","testcase.RegistrationPortalUserTest","revokePortalAccess","revokePortalAccess",""
"skipped","Thu Aug 14 08:02:05 GMT 2025","Thu Aug 14 08:02:05 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.GenderTypeTest","testcase.GenderTypeTest","genderTypeDeletion","genderTypeDeletion",""
"broken","Thu Aug 14 07:51:15 GMT 2025","Thu Aug 14 07:51:15 GMT 2025","1","Social Registry Sanity Test Suite","Sanity Suite","testcase.GroupMembershipKindTest","testcase.GroupMembershipKindTest","tearDown","tearDown",""
"skipped","Thu Aug 14 07:43:10 GMT 2025","Thu Aug 14 07:43:10 GMT 2025","1","Social Registry Sanity Test Suite","Sanity Suite","testcase.LoginPageTest","testcase.LoginPageTest","loginTest","loginTest",""
"skipped","Thu Aug 14 08:02:05 GMT 2025","Thu Aug 14 08:02:05 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.RegistrantTagsTest","testcase.RegistrantTagsTest","registrantTagDeletion","registrantTagDeletion",""
"broken","Thu Aug 14 07:43:10 GMT 2025","Thu Aug 14 07:43:10 GMT 2025","1","Social Registry Sanity Test Suite","Sanity Suite","testcase.LoginPageTest","testcase.LoginPageTest","resetPassword","resetPassword",""
"passed","Thu Aug 14 08:06:12 GMT 2025","Thu Aug 14 08:06:35 GMT 2025","23297","Social Registry Sanity Test Suite","Sanity Suite","testcase.RegistrationPortalUserTest","testcase.RegistrationPortalUserTest","registrationPortalUserCreation","registrationPortalUserCreation",""
"broken","Thu Aug 14 07:54:53 GMT 2025","Thu Aug 14 07:54:53 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.IdTypeTest","testcase.IdTypeTest","tearDown","tearDown",""
"broken","Thu Aug 14 08:02:05 GMT 2025","Thu Aug 14 08:02:05 GMT 2025","1","Social Registry Sanity Test Suite","Sanity Suite","testcase.DistrictConfigTest","testcase.DistrictConfigTest","tearDown","tearDown",""
"skipped","Thu Aug 14 08:02:05 GMT 2025","Thu Aug 14 08:02:05 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.IndividualTest","testcase.IndividualTest","individualDeletion","individualDeletion",""
"broken","Thu Aug 14 08:00:08 GMT 2025","Thu Aug 14 08:00:08 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.RelationshipTest","testcase.RelationshipTest","relationshipsCreation","relationshipsCreation",""
"broken","Thu Aug 14 07:58:21 GMT 2025","Thu Aug 14 07:58:21 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.RegistrantTagsTest","testcase.RegistrantTagsTest","tearDown","tearDown",""
"broken","Thu Aug 14 07:53:00 GMT 2025","Thu Aug 14 07:53:00 GMT 2025","1","Social Registry Sanity Test Suite","Sanity Suite","testcase.GroupTypeTest","testcase.GroupTypeTest","tearDown","tearDown",""
"broken","Thu Aug 14 07:56:35 GMT 2025","Thu Aug 14 07:56:35 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.RegionTest","testcase.RegionTest","tearDown","tearDown",""
"passed","Thu Aug 14 08:08:37 GMT 2025","Thu Aug 14 08:08:59 GMT 2025","21685","Social Registry Sanity Test Suite","Sanity Suite","testcase.RegistrationPortalUserTest","testcase.RegistrationPortalUserTest","registrationPortalUserUpdation","registrationPortalUserUpdation",""
